peak_order,sample_index,milliseconds,timestamp
139,26227,131135.0,2018-04-17 18:34:21.135000
140,26452,132260.0,2018-04-17 18:34:22.260000
141,26634,133170.0,2018-04-17 18:34:23.170000
142,26791,133955.0,2018-04-17 18:34:23.955000
143,26993,134965.0,2018-04-17 18:34:24.965000
144,27195,135975.0,2018-04-17 18:34:25.975000
145,27336,136680.0,2018-04-17 18:34:26.680000
146,27501,137505.0,2018-04-17 18:34:27.505000
147,27666,138330.0,2018-04-17 18:34:28.330000
148,27874,139370.0,2018-04-17 18:34:29.370000
149,28072,140360.0,2018-04-17 18:34:30.360000
150,28326,141630.0,2018-04-17 18:34:31.630000
151,28478,142390.0,2018-04-17 18:34:32.390000
152,28669,143345.0,2018-04-17 18:34:33.345000
153,28893,144465.0,2018-04-17 18:34:34.465000
154,29078,145390.0,2018-04-17 18:34:35.390000
155,29258,146290.0,2018-04-17 18:34:36.290000
156,29442,147210.0,2018-04-17 18:34:37.210000
157,29619,148095.0,2018-04-17 18:34:38.095000
158,29801,149005.0,2018-04-17 18:34:39.005000
159,29947,149735.0,2018-04-17 18:34:39.735000
160,30118,150590.0,2018-04-17 18:34:40.590000
161,30291,151455.0,2018-04-17 18:34:41.455000
162,30465,152325.0,2018-04-17 18:34:42.325000
163,30620,153100.0,2018-04-17 18:34:43.100000
164,30785,153925.0,2018-04-17 18:34:43.925000
165,30959,154795.0,2018-04-17 18:34:44.795000
166,31126,155630.0,2018-04-17 18:34:45.630000
167,31290,156450.0,2018-04-17 18:34:46.450000
168,31458,157290.0,2018-04-17 18:34:47.290000
169,31629,158145.0,2018-04-17 18:34:48.145000
170,31797,158985.0,2018-04-17 18:34:48.985000
171,31963,159815.0,2018-04-17 18:34:49.815000
172,32130,160650.0,2018-04-17 18:34:50.650000
173,32307,161535.0,2018-04-17 18:34:51.535000
174,32467,162335.0,2018-04-17 18:34:52.335000
175,32635,163175.0,2018-04-17 18:34:53.175000
176,32797,163985.0,2018-04-17 18:34:53.985000
177,32961,164805.0,2018-04-17 18:34:54.805000
178,33135,165675.0,2018-04-17 18:34:55.675000
179,33303,166515.0,2018-04-17 18:34:56.515000
180,33525,167625.0,2018-04-17 18:34:57.625000
181,33724,168620.0,2018-04-17 18:34:58.620000
182,33885,169425.0,2018-04-17 18:34:59.425000
183,34052,170260.0,2018-04-17 18:35:00.260000
184,34253,171265.0,2018-04-17 18:35:01.265000
185,34452,172260.0,2018-04-17 18:35:02.260000
186,34643,173215.0,2018-04-17 18:35:03.215000
187,34811,174055.0,2018-04-17 18:35:04.055000
188,34992,174960.0,2018-04-17 18:35:04.960000
189,35162,175810.0,2018-04-17 18:35:05.810000
190,35326,176630.0,2018-04-17 18:35:06.630000
191,35481,177405.0,2018-04-17 18:35:07.405000
192,35680,178400.0,2018-04-17 18:35:08.400000
193,35882,179410.0,2018-04-17 18:35:09.410000
194,36074,180370.0,2018-04-17 18:35:10.370000
195,36257,181285.0,2018-04-17 18:35:11.285000
196,36470,182350.0,2018-04-17 18:35:12.350000
197,36739,183695.0,2018-04-17 18:35:13.695000
198,36975,184875.0,2018-04-17 18:35:14.875000
199,37180,185900.0,2018-04-17 18:35:15.900000
200,37343,186715.0,2018-04-17 18:35:16.715000
201,37588,187940.0,2018-04-17 18:35:17.940000
202,37735,188675.0,2018-04-17 18:35:18.675000
203,37900,189500.0,2018-04-17 18:35:19.500000
204,38090,190450.0,2018-04-17 18:35:20.450000
205,38241,191205.0,2018-04-17 18:35:21.205000
206,38448,192240.0,2018-04-17 18:35:22.240000
207,38643,193215.0,2018-04-17 18:35:23.215000
208,38856,194280.0,2018-04-17 18:35:24.280000
209,39010,195050.0,2018-04-17 18:35:25.050000
210,39226,196130.0,2018-04-17 18:35:26.130000
211,39454,197270.0,2018-04-17 18:35:27.270000
212,39628,198140.0,2018-04-17 18:35:28.140000
213,39793,198965.0,2018-04-17 18:35:28.965000
214,39973,199865.0,2018-04-17 18:35:29.865000
215,40222,201110.0,2018-04-17 18:35:31.110000
216,40425,202125.0,2018-04-17 18:35:32.125000
217,40568,202840.0,2018-04-17 18:35:32.840000
218,40788,203940.0,2018-04-17 18:35:33.940000
219,40960,204800.0,2018-04-17 18:35:34.800000
220,41220,206100.0,2018-04-17 18:35:36.100000
221,41403,207015.0,2018-04-17 18:35:37.015000
222,41590,207950.0,2018-04-17 18:35:37.950000
223,41748,208740.0,2018-04-17 18:35:38.740000
224,41942,209710.0,2018-04-17 18:35:39.710000
225,42102,210510.0,2018-04-17 18:35:40.510000
226,42286,211430.0,2018-04-17 18:35:41.430000
227,42452,212260.0,2018-04-17 18:35:42.260000
228,42660,213300.0,2018-04-17 18:35:43.300000
229,42849,214245.0,2018-04-17 18:35:44.245000
230,43135,215675.0,2018-04-17 18:35:45.675000
231,43377,216885.0,2018-04-17 18:35:46.885000
232,43563,217815.0,2018-04-17 18:35:47.815000
233,43725,218625.0,2018-04-17 18:35:48.625000
234,43890,219450.0,2018-04-17 18:35:49.450000
235,44100,220500.0,2018-04-17 18:35:50.500000
236,44284,221420.0,2018-04-17 18:35:51.420000
237,44467,222335.0,2018-04-17 18:35:52.335000
238,44640,223200.0,2018-04-17 18:35:53.200000
239,44812,224060.0,2018-04-17 18:35:54.060000
240,44984,224920.0,2018-04-17 18:35:54.920000
241,45146,225730.0,2018-04-17 18:35:55.730000
242,45296,226480.0,2018-04-17 18:35:56.480000
243,45513,227565.0,2018-04-17 18:35:57.565000
244,45694,228470.0,2018-04-17 18:35:58.470000
245,45884,229420.0,2018-04-17 18:35:59.420000
246,46029,230145.0,2018-04-17 18:36:00.145000
247,46184,230920.0,2018-04-17 18:36:00.920000
248,46377,231885.0,2018-04-17 18:36:01.885000
249,46573,232865.0,2018-04-17 18:36:02.865000
250,46780,233900.0,2018-04-17 18:36:03.900000
251,46960,234800.0,2018-04-17 18:36:04.800000
252,47112,235560.0,2018-04-17 18:36:05.560000
253,47382,236910.0,2018-04-17 18:36:06.910000
254,47558,237790.0,2018-04-17 18:36:07.790000
255,47736,238680.0,2018-04-17 18:36:08.680000
256,47923,239615.0,2018-04-17 18:36:09.615000
257,48104,240520.0,2018-04-17 18:36:10.520000
258,48333,241665.0,2018-04-17 18:36:11.665000
259,48516,242580.0,2018-04-17 18:36:12.580000
260,48665,243325.0,2018-04-17 18:36:13.325000
261,48847,244235.0,2018-04-17 18:36:14.235000
262,49024,245120.0,2018-04-17 18:36:15.120000
263,49203,246015.0,2018-04-17 18:36:16.015000
264,49380,246900.0,2018-04-17 18:36:16.900000
265,49583,247915.0,2018-04-17 18:36:17.915000
266,49770,248850.0,2018-04-17 18:36:18.850000
267,49962,249810.0,2018-04-17 18:36:19.810000
268,50238,251190.0,2018-04-17 18:36:21.190000
269,50409,252045.0,2018-04-17 18:36:22.045000
270,50625,253125.0,2018-04-17 18:36:23.125000
271,50804,254020.0,2018-04-17 18:36:24.020000
272,50990,254950.0,2018-04-17 18:36:24.950000
273,51190,255950.0,2018-04-17 18:36:25.950000
274,51425,257125.0,2018-04-17 18:36:27.125000
275,51629,258145.0,2018-04-17 18:36:28.145000
276,51901,259505.0,2018-04-17 18:36:29.505000
277,52113,260565.0,2018-04-17 18:36:30.565000
278,52296,261480.0,2018-04-17 18:36:31.480000
279,52516,262580.0,2018-04-17 18:36:32.580000
280,52686,263430.0,2018-04-17 18:36:33.430000
281,52859,264295.0,2018-04-17 18:36:34.295000
282,53056,265280.0,2018-04-17 18:36:35.280000
283,53290,266450.0,2018-04-17 18:36:36.450000
284,53517,267585.0,2018-04-17 18:36:37.585000
285,53722,268610.0,2018-04-17 18:36:38.610000
286,53880,269400.0,2018-04-17 18:36:39.400000
287,54060,270300.0,2018-04-17 18:36:40.300000
288,54219,271095.0,2018-04-17 18:36:41.095000
289,54439,272195.0,2018-04-17 18:36:42.195000
290,54606,273030.0,2018-04-17 18:36:43.030000
291,54788,273940.0,2018-04-17 18:36:43.940000
292,54970,274850.0,2018-04-17 18:36:44.850000
293,55224,276120.0,2018-04-17 18:36:46.120000
294,55416,277080.0,2018-04-17 18:36:47.080000
295,55575,277875.0,2018-04-17 18:36:47.875000
296,55738,278690.0,2018-04-17 18:36:48.690000
297,55941,279705.0,2018-04-17 18:36:49.705000
298,56128,280640.0,2018-04-17 18:36:50.640000
299,56369,281845.0,2018-04-17 18:36:51.845000
300,56576,282880.0,2018-04-17 18:36:52.880000
301,56746,283730.0,2018-04-17 18:36:53.730000
302,56961,284805.0,2018-04-17 18:36:54.805000
303,57132,285660.0,2018-04-17 18:36:55.660000
304,57366,286830.0,2018-04-17 18:36:56.830000
305,57572,287860.0,2018-04-17 18:36:57.860000
306,57733,288665.0,2018-04-17 18:36:58.665000
307,57928,289640.0,2018-04-17 18:36:59.640000
308,58177,290885.0,2018-04-17 18:37:00.885000
309,58319,291595.0,2018-04-17 18:37:01.595000
310,58475,292375.0,2018-04-17 18:37:02.375000
311,58714,293570.0,2018-04-17 18:37:03.570000
312,58910,294550.0,2018-04-17 18:37:04.550000
313,59157,295785.0,2018-04-17 18:37:05.785000
314,59403,297015.0,2018-04-17 18:37:07.015000
315,59636,298180.0,2018-04-17 18:37:08.180000
316,59882,299410.0,2018-04-17 18:37:09.410000
317,60076,300380.0,2018-04-17 18:37:10.380000
318,60306,301530.0,2018-04-17 18:37:11.530000
319,60475,302375.0,2018-04-17 18:37:12.375000
320,60663,303315.0,2018-04-17 18:37:13.315000
321,60887,304435.0,2018-04-17 18:37:14.435000
322,61055,305275.0,2018-04-17 18:37:15.275000
323,61240,306200.0,2018-04-17 18:37:16.200000
324,61457,307285.0,2018-04-17 18:37:17.285000
325,61676,308380.0,2018-04-17 18:37:18.380000
326,61836,309180.0,2018-04-17 18:37:19.180000
327,61983,309915.0,2018-04-17 18:37:19.915000
328,62193,310965.0,2018-04-17 18:37:20.965000
329,62449,312245.0,2018-04-17 18:37:22.245000
330,62707,313535.0,2018-04-17 18:37:23.535000
331,62899,314495.0,2018-04-17 18:37:24.495000
332,63077,315385.0,2018-04-17 18:37:25.385000
333,63254,316270.0,2018-04-17 18:37:26.270000
334,63416,317080.0,2018-04-17 18:37:27.080000
335,63597,317985.0,2018-04-17 18:37:27.985000
336,63748,318740.0,2018-04-17 18:37:28.740000
337,63965,319825.0,2018-04-17 18:37:29.825000
338,64164,320820.0,2018-04-17 18:37:30.820000
339,64368,321840.0,2018-04-17 18:37:31.840000
340,64515,322575.0,2018-04-17 18:37:32.575000
341,64675,323375.0,2018-04-17 18:37:33.375000
342,64864,324320.0,2018-04-17 18:37:34.320000
343,65025,325125.0,2018-04-17 18:37:35.125000
344,65226,326130.0,2018-04-17 18:37:36.130000
345,65364,326820.0,2018-04-17 18:37:36.820000
346,65506,327530.0,2018-04-17 18:37:37.530000
347,65698,328490.0,2018-04-17 18:37:38.490000
348,65909,329545.0,2018-04-17 18:37:39.545000
349,66075,330375.0,2018-04-17 18:37:40.375000
350,66245,331225.0,2018-04-17 18:37:41.225000
351,66468,332340.0,2018-04-17 18:37:42.340000
352,66660,333300.0,2018-04-17 18:37:43.300000
353,66832,334160.0,2018-04-17 18:37:44.160000
354,67080,335400.0,2018-04-17 18:37:45.400000
355,67307,336535.0,2018-04-17 18:37:46.535000
356,67532,337660.0,2018-04-17 18:37:47.660000
357,67739,338695.0,2018-04-17 18:37:48.695000
358,67950,339750.0,2018-04-17 18:37:49.750000
359,68125,340625.0,2018-04-17 18:37:50.625000
360,68288,341440.0,2018-04-17 18:37:51.440000
361,68434,342170.0,2018-04-17 18:37:52.170000
362,68630,343150.0,2018-04-17 18:37:53.150000
363,68836,344180.0,2018-04-17 18:37:54.180000
364,69004,345020.0,2018-04-17 18:37:55.020000
365,69212,346060.0,2018-04-17 18:37:56.060000
366,69363,346815.0,2018-04-17 18:37:56.815000
367,69536,347680.0,2018-04-17 18:37:57.680000
368,69735,348675.0,2018-04-17 18:37:58.675000
369,69924,349620.0,2018-04-17 18:37:59.620000
370,70144,350720.0,2018-04-17 18:38:00.720000
371,70322,351610.0,2018-04-17 18:38:01.610000
372,70502,352510.0,2018-04-17 18:38:02.510000
373,70660,353300.0,2018-04-17 18:38:03.300000
374,70798,353990.0,2018-04-17 18:38:03.990000
375,71030,355150.0,2018-04-17 18:38:05.150000
376,71194,355970.0,2018-04-17 18:38:05.970000
377,71437,357185.0,2018-04-17 18:38:07.185000
378,71599,357995.0,2018-04-17 18:38:07.995000
379,71777,358885.0,2018-04-17 18:38:08.885000
380,71945,359725.0,2018-04-17 18:38:09.725000
381,72123,360615.0,2018-04-17 18:38:10.615000
382,72342,361710.0,2018-04-17 18:38:11.710000
383,72553,362765.0,2018-04-17 18:38:12.765000
384,72743,363715.0,2018-04-17 18:38:13.715000
385,72930,364650.0,2018-04-17 18:38:14.650000
386,73131,365655.0,2018-04-17 18:38:15.655000
387,73287,366435.0,2018-04-17 18:38:16.435000
388,73449,367245.0,2018-04-17 18:38:17.245000
389,73689,368445.0,2018-04-17 18:38:18.445000
390,73860,369300.0,2018-04-17 18:38:19.300000
391,74001,370005.0,2018-04-17 18:38:20.005000
392,74155,370775.0,2018-04-17 18:38:20.775000
393,74373,371865.0,2018-04-17 18:38:21.865000
394,74570,372850.0,2018-04-17 18:38:22.850000
395,74804,374020.0,2018-04-17 18:38:24.020000
396,74995,374975.0,2018-04-17 18:38:24.975000
397,75209,376045.0,2018-04-17 18:38:26.045000
398,75354,376770.0,2018-04-17 18:38:26.770000
399,75526,377630.0,2018-04-17 18:38:27.630000
400,75741,378705.0,2018-04-17 18:38:28.705000
401,76004,380020.0,2018-04-17 18:38:30.020000
402,76176,380880.0,2018-04-17 18:38:30.880000
403,76366,381830.0,2018-04-17 18:38:31.830000
404,76575,382875.0,2018-04-17 18:38:32.875000
405,76740,383700.0,2018-04-17 18:38:33.700000
406,76910,384550.0,2018-04-17 18:38:34.550000
407,77068,385340.0,2018-04-17 18:38:35.340000
408,77249,386245.0,2018-04-17 18:38:36.245000
409,77411,387055.0,2018-04-17 18:38:37.055000
410,77634,388170.0,2018-04-17 18:38:38.170000
411,77819,389095.0,2018-04-17 18:38:39.095000
412,77964,389820.0,2018-04-17 18:38:39.820000
413,78144,390720.0,2018-04-17 18:38:40.720000
414,78332,391660.0,2018-04-17 18:38:41.660000
415,78506,392530.0,2018-04-17 18:38:42.530000
416,78658,393290.0,2018-04-17 18:38:43.290000
417,78835,394175.0,2018-04-17 18:38:44.175000
418,79082,395410.0,2018-04-17 18:38:45.410000
419,79278,396390.0,2018-04-17 18:38:46.390000
420,79498,397490.0,2018-04-17 18:38:47.490000
421,79648,398240.0,2018-04-17 18:38:48.240000
422,79809,399045.0,2018-04-17 18:38:49.045000
423,80006,400030.0,2018-04-17 18:38:50.030000
424,80170,400850.0,2018-04-17 18:38:50.850000
425,80344,401720.0,2018-04-17 18:38:51.720000
426,80523,402615.0,2018-04-17 18:38:52.615000
427,80765,403825.0,2018-04-17 18:38:53.825000
428,80925,404625.0,2018-04-17 18:38:54.625000
429,81109,405545.0,2018-04-17 18:38:55.545000
430,81315,406575.0,2018-04-17 18:38:56.575000
431,81545,407725.0,2018-04-17 18:38:57.725000
432,81779,408895.0,2018-04-17 18:38:58.895000
433,81989,409945.0,2018-04-17 18:38:59.945000
434,82152,410760.0,2018-04-17 18:39:00.760000
435,82383,411915.0,2018-04-17 18:39:01.915000
436,82571,412855.0,2018-04-17 18:39:02.855000
437,82729,413645.0,2018-04-17 18:39:03.645000
438,82913,414565.0,2018-04-17 18:39:04.565000
439,83129,415645.0,2018-04-17 18:39:05.645000
440,83408,417040.0,2018-04-17 18:39:07.040000
441,83623,418115.0,2018-04-17 18:39:08.115000
442,83794,418970.0,2018-04-17 18:39:08.970000
443,83952,419760.0,2018-04-17 18:39:09.760000
444,84147,420735.0,2018-04-17 18:39:10.735000
445,84382,421910.0,2018-04-17 18:39:11.910000
446,84604,423020.0,2018-04-17 18:39:13.020000
447,84825,424125.0,2018-04-17 18:39:14.125000
448,85002,425010.0,2018-04-17 18:39:15.010000
449,85166,425830.0,2018-04-17 18:39:15.830000
450,85331,426655.0,2018-04-17 18:39:16.655000
451,85512,427560.0,2018-04-17 18:39:17.560000
452,85667,428335.0,2018-04-17 18:39:18.335000
453,85827,429135.0,2018-04-17 18:39:19.135000
454,85999,429995.0,2018-04-17 18:39:19.995000
455,86241,431205.0,2018-04-17 18:39:21.205000
456,86403,432015.0,2018-04-17 18:39:22.015000
457,86570,432850.0,2018-04-17 18:39:22.850000
458,86745,433725.0,2018-04-17 18:39:23.725000
459,86911,434555.0,2018-04-17 18:39:24.555000
460,87072,435360.0,2018-04-17 18:39:25.360000
461,87244,436220.0,2018-04-17 18:39:26.220000
462,87418,437090.0,2018-04-17 18:39:27.090000
463,87574,437870.0,2018-04-17 18:39:27.870000
464,87739,438695.0,2018-04-17 18:39:28.695000
465,87913,439565.0,2018-04-17 18:39:29.565000
466,88068,440340.0,2018-04-17 18:39:30.340000
467,88235,441175.0,2018-04-17 18:39:31.175000
468,88400,442000.0,2018-04-17 18:39:32
469,88567,442835.0,2018-04-17 18:39:32.835000
470,88734,443670.0,2018-04-17 18:39:33.670000
471,88893,444465.0,2018-04-17 18:39:34.465000
472,89113,445565.0,2018-04-17 18:39:35.565000
473,89276,446380.0,2018-04-17 18:39:36.380000
474,89477,447385.0,2018-04-17 18:39:37.385000
475,89631,448155.0,2018-04-17 18:39:38.155000
476,89876,449380.0,2018-04-17 18:39:39.380000
477,90090,450450.0,2018-04-17 18:39:40.450000
478,90327,451635.0,2018-04-17 18:39:41.635000
479,90512,452560.0,2018-04-17 18:39:42.560000
480,90671,453355.0,2018-04-17 18:39:43.355000
481,90911,454555.0,2018-04-17 18:39:44.555000
482,91166,455830.0,2018-04-17 18:39:45.830000
483,91328,456640.0,2018-04-17 18:39:46.640000
484,91545,457725.0,2018-04-17 18:39:47.725000
485,91754,458770.0,2018-04-17 18:39:48.770000
486,91932,459660.0,2018-04-17 18:39:49.660000
487,92113,460565.0,2018-04-17 18:39:50.565000
488,92322,461610.0,2018-04-17 18:39:51.610000
489,92546,462730.0,2018-04-17 18:39:52.730000
490,92753,463765.0,2018-04-17 18:39:53.765000
491,92895,464475.0,2018-04-17 18:39:54.475000
492,93035,465175.0,2018-04-17 18:39:55.175000
493,93258,466290.0,2018-04-17 18:39:56.290000
494,93458,467290.0,2018-04-17 18:39:57.290000
495,93624,468120.0,2018-04-17 18:39:58.120000
496,93793,468965.0,2018-04-17 18:39:58.965000
497,93959,469795.0,2018-04-17 18:39:59.795000
498,94125,470625.0,2018-04-17 18:40:00.625000
499,94289,471445.0,2018-04-17 18:40:01.445000
500,94460,472300.0,2018-04-17 18:40:02.300000
501,94627,473135.0,2018-04-17 18:40:03.135000
502,94792,473960.0,2018-04-17 18:40:03.960000
503,94959,474795.0,2018-04-17 18:40:04.795000
504,95128,475640.0,2018-04-17 18:40:05.640000
505,95287,476435.0,2018-04-17 18:40:06.435000
506,95460,477300.0,2018-04-17 18:40:07.300000
507,95633,478165.0,2018-04-17 18:40:08.165000
508,95794,478970.0,2018-04-17 18:40:08.970000
509,95968,479840.0,2018-04-17 18:40:09.840000
510,96120,480600.0,2018-04-17 18:40:10.600000
511,96288,481440.0,2018-04-17 18:40:11.440000
512,96461,482305.0,2018-04-17 18:40:12.305000
513,96633,483165.0,2018-04-17 18:40:13.165000
514,96786,483930.0,2018-04-17 18:40:13.930000
515,96966,484830.0,2018-04-17 18:40:14.830000
516,97128,485640.0,2018-04-17 18:40:15.640000
517,97284,486420.0,2018-04-17 18:40:16.420000
518,97462,487310.0,2018-04-17 18:40:17.310000
519,97627,488135.0,2018-04-17 18:40:18.135000
520,97827,489135.0,2018-04-17 18:40:19.135000
521,98030,490150.0,2018-04-17 18:40:20.150000
522,98282,491410.0,2018-04-17 18:40:21.410000
523,98452,492260.0,2018-04-17 18:40:22.260000
524,98639,493195.0,2018-04-17 18:40:23.195000
525,98788,493940.0,2018-04-17 18:40:23.940000
526,98945,494725.0,2018-04-17 18:40:24.725000
527,99120,495600.0,2018-04-17 18:40:25.600000
528,99295,496475.0,2018-04-17 18:40:26.475000
529,99450,497250.0,2018-04-17 18:40:27.250000
530,99633,498165.0,2018-04-17 18:40:28.165000
531,99850,499250.0,2018-04-17 18:40:29.250000
532,100033,500165.0,2018-04-17 18:40:30.165000
533,100202,501010.0,2018-04-17 18:40:31.010000
534,100438,502190.0,2018-04-17 18:40:32.190000
535,100688,503440.0,2018-04-17 18:40:33.440000
536,100853,504265.0,2018-04-17 18:40:34.265000
537,100990,504950.0,2018-04-17 18:40:34.950000
