peak_order,sample_index,milliseconds,timestamp
60,11199,55995.0,2018-04-17 18:33:05.995000
61,11435,57175.0,2018-04-17 18:33:07.175000
62,11635,58175.0,2018-04-17 18:33:08.175000
63,11846,59230.0,2018-04-17 18:33:09.230000
64,12076,60380.0,2018-04-17 18:33:10.380000
65,12258,61290.0,2018-04-17 18:33:11.290000
66,12499,62495.0,2018-04-17 18:33:12.495000
67,12686,63430.0,2018-04-17 18:33:13.430000
68,12841,64205.0,2018-04-17 18:33:14.205000
69,13056,65280.0,2018-04-17 18:33:15.280000
70,13258,66290.0,2018-04-17 18:33:16.290000
71,13429,67145.0,2018-04-17 18:33:17.145000
72,13600,68000.0,2018-04-17 18:33:18
73,13775,68875.0,2018-04-17 18:33:18.875000
74,13999,69995.0,2018-04-17 18:33:19.995000
75,14200,71000.0,2018-04-17 18:33:21
76,14369,71845.0,2018-04-17 18:33:21.845000
77,14513,72565.0,2018-04-17 18:33:22.565000
78,14728,73640.0,2018-04-17 18:33:23.640000
79,14894,74470.0,2018-04-17 18:33:24.470000
80,15145,75725.0,2018-04-17 18:33:25.725000
81,15387,76935.0,2018-04-17 18:33:26.935000
82,15543,77715.0,2018-04-17 18:33:27.715000
83,15730,78650.0,2018-04-17 18:33:28.650000
84,15890,79450.0,2018-04-17 18:33:29.450000
85,16114,80570.0,2018-04-17 18:33:30.570000
86,16297,81485.0,2018-04-17 18:33:31.485000
87,16462,82310.0,2018-04-17 18:33:32.310000
88,16638,83190.0,2018-04-17 18:33:33.190000
89,16805,84025.0,2018-04-17 18:33:34.025000
90,16975,84875.0,2018-04-17 18:33:34.875000
91,17150,85750.0,2018-04-17 18:33:35.750000
92,17319,86595.0,2018-04-17 18:33:36.595000
93,17486,87430.0,2018-04-17 18:33:37.430000
94,17659,88295.0,2018-04-17 18:33:38.295000
95,17823,89115.0,2018-04-17 18:33:39.115000
96,17998,89990.0,2018-04-17 18:33:39.990000
97,18167,90835.0,2018-04-17 18:33:40.835000
98,18346,91730.0,2018-04-17 18:33:41.730000
99,18512,92560.0,2018-04-17 18:33:42.560000
100,18681,93405.0,2018-04-17 18:33:43.405000
101,18939,94695.0,2018-04-17 18:33:44.695000
102,19098,95490.0,2018-04-17 18:33:45.490000
103,19277,96385.0,2018-04-17 18:33:46.385000
104,19443,97215.0,2018-04-17 18:33:47.215000
105,19605,98025.0,2018-04-17 18:33:48.025000
106,19784,98920.0,2018-04-17 18:33:48.920000
107,19954,99770.0,2018-04-17 18:33:49.770000
108,20124,100620.0,2018-04-17 18:33:50.620000
109,20295,101475.0,2018-04-17 18:33:51.475000
110,20463,102315.0,2018-04-17 18:33:52.315000
111,20634,103170.0,2018-04-17 18:33:53.170000
112,20802,104010.0,2018-04-17 18:33:54.010000
113,21002,105010.0,2018-04-17 18:33:55.010000
114,21199,105995.0,2018-04-17 18:33:55.995000
115,21365,106825.0,2018-04-17 18:33:56.825000
116,21580,107900.0,2018-04-17 18:33:57.900000
117,21772,108860.0,2018-04-17 18:33:58.860000
118,21924,109620.0,2018-04-17 18:33:59.620000
119,22172,110860.0,2018-04-17 18:34:00.860000
120,22341,111705.0,2018-04-17 18:34:01.705000
121,22568,112840.0,2018-04-17 18:34:02.840000
122,22814,114070.0,2018-04-17 18:34:04.070000
123,22997,114985.0,2018-04-17 18:34:04.985000
124,23195,115975.0,2018-04-17 18:34:05.975000
125,23375,116875.0,2018-04-17 18:34:06.875000
126,23576,117880.0,2018-04-17 18:34:07.880000
127,23776,118880.0,2018-04-17 18:34:08.880000
128,23949,119745.0,2018-04-17 18:34:09.745000
129,24128,120640.0,2018-04-17 18:34:10.640000
130,24290,121450.0,2018-04-17 18:34:11.450000
131,24439,122195.0,2018-04-17 18:34:12.195000
132,24591,122955.0,2018-04-17 18:34:12.955000
133,24799,123995.0,2018-04-17 18:34:13.995000
134,24988,124940.0,2018-04-17 18:34:14.940000
135,25159,125795.0,2018-04-17 18:34:15.795000
136,25339,126695.0,2018-04-17 18:34:16.695000
137,25516,127580.0,2018-04-17 18:34:17.580000
138,25697,128485.0,2018-04-17 18:34:18.485000
139,25872,129360.0,2018-04-17 18:34:19.360000
140,26053,130265.0,2018-04-17 18:34:20.265000
141,26229,131145.0,2018-04-17 18:34:21.145000
142,26454,132270.0,2018-04-17 18:34:22.270000
143,26635,133175.0,2018-04-17 18:34:23.175000
144,26792,133960.0,2018-04-17 18:34:23.960000
145,26994,134970.0,2018-04-17 18:34:24.970000
146,27197,135985.0,2018-04-17 18:34:25.985000
147,27337,136685.0,2018-04-17 18:34:26.685000
148,27502,137510.0,2018-04-17 18:34:27.510000
149,27668,138340.0,2018-04-17 18:34:28.340000
150,27876,139380.0,2018-04-17 18:34:29.380000
151,28073,140365.0,2018-04-17 18:34:30.365000
152,28328,141640.0,2018-04-17 18:34:31.640000
153,28479,142395.0,2018-04-17 18:34:32.395000
154,28671,143355.0,2018-04-17 18:34:33.355000
155,28895,144475.0,2018-04-17 18:34:34.475000
156,29079,145395.0,2018-04-17 18:34:35.395000
157,29259,146295.0,2018-04-17 18:34:36.295000
158,29444,147220.0,2018-04-17 18:34:37.220000
159,29621,148105.0,2018-04-17 18:34:38.105000
160,29802,149010.0,2018-04-17 18:34:39.010000
161,29949,149745.0,2018-04-17 18:34:39.745000
162,30119,150595.0,2018-04-17 18:34:40.595000
163,30293,151465.0,2018-04-17 18:34:41.465000
164,30466,152330.0,2018-04-17 18:34:42.330000
165,30621,153105.0,2018-04-17 18:34:43.105000
166,30786,153930.0,2018-04-17 18:34:43.930000
167,30960,154800.0,2018-04-17 18:34:44.800000
168,31128,155640.0,2018-04-17 18:34:45.640000
169,31292,156460.0,2018-04-17 18:34:46.460000
170,31459,157295.0,2018-04-17 18:34:47.295000
171,31630,158150.0,2018-04-17 18:34:48.150000
172,31799,158995.0,2018-04-17 18:34:48.995000
173,31964,159820.0,2018-04-17 18:34:49.820000
174,32131,160655.0,2018-04-17 18:34:50.655000
175,32309,161545.0,2018-04-17 18:34:51.545000
176,32468,162340.0,2018-04-17 18:34:52.340000
177,32636,163180.0,2018-04-17 18:34:53.180000
178,32799,163995.0,2018-04-17 18:34:53.995000
179,32962,164810.0,2018-04-17 18:34:54.810000
180,33137,165685.0,2018-04-17 18:34:55.685000
181,33305,166525.0,2018-04-17 18:34:56.525000
182,33526,167630.0,2018-04-17 18:34:57.630000
183,33725,168625.0,2018-04-17 18:34:58.625000
184,33887,169435.0,2018-04-17 18:34:59.435000
185,34053,170265.0,2018-04-17 18:35:00.265000
186,34255,171275.0,2018-04-17 18:35:01.275000
187,34453,172265.0,2018-04-17 18:35:02.265000
188,34644,173220.0,2018-04-17 18:35:03.220000
189,34813,174065.0,2018-04-17 18:35:04.065000
190,34994,174970.0,2018-04-17 18:35:04.970000
191,35164,175820.0,2018-04-17 18:35:05.820000
192,35328,176640.0,2018-04-17 18:35:06.640000
193,35483,177415.0,2018-04-17 18:35:07.415000
194,35682,178410.0,2018-04-17 18:35:08.410000
195,35883,179415.0,2018-04-17 18:35:09.415000
196,36075,180375.0,2018-04-17 18:35:10.375000
197,36258,181290.0,2018-04-17 18:35:11.290000
198,36472,182360.0,2018-04-17 18:35:12.360000
199,36741,183705.0,2018-04-17 18:35:13.705000
200,36977,184885.0,2018-04-17 18:35:14.885000
201,37181,185905.0,2018-04-17 18:35:15.905000
202,37344,186720.0,2018-04-17 18:35:16.720000
203,37589,187945.0,2018-04-17 18:35:17.945000
204,37736,188680.0,2018-04-17 18:35:18.680000
205,37902,189510.0,2018-04-17 18:35:19.510000
206,38092,190460.0,2018-04-17 18:35:20.460000
207,38242,191210.0,2018-04-17 18:35:21.210000
208,38449,192245.0,2018-04-17 18:35:22.245000
209,38645,193225.0,2018-04-17 18:35:23.225000
210,38857,194285.0,2018-04-17 18:35:24.285000
211,39012,195060.0,2018-04-17 18:35:25.060000
212,39228,196140.0,2018-04-17 18:35:26.140000
213,39456,197280.0,2018-04-17 18:35:27.280000
214,39629,198145.0,2018-04-17 18:35:28.145000
215,39794,198970.0,2018-04-17 18:35:28.970000
216,39974,199870.0,2018-04-17 18:35:29.870000
217,40223,201115.0,2018-04-17 18:35:31.115000
218,40426,202130.0,2018-04-17 18:35:32.130000
219,40570,202850.0,2018-04-17 18:35:32.850000
220,40790,203950.0,2018-04-17 18:35:33.950000
221,40961,204805.0,2018-04-17 18:35:34.805000
222,41222,206110.0,2018-04-17 18:35:36.110000
223,41404,207020.0,2018-04-17 18:35:37.020000
224,41591,207955.0,2018-04-17 18:35:37.955000
225,41749,208745.0,2018-04-17 18:35:38.745000
226,41944,209720.0,2018-04-17 18:35:39.720000
227,42103,210515.0,2018-04-17 18:35:40.515000
228,42287,211435.0,2018-04-17 18:35:41.435000
229,42453,212265.0,2018-04-17 18:35:42.265000
230,42661,213305.0,2018-04-17 18:35:43.305000
231,42850,214250.0,2018-04-17 18:35:44.250000
232,43136,215680.0,2018-04-17 18:35:45.680000
233,43378,216890.0,2018-04-17 18:35:46.890000
234,43564,217820.0,2018-04-17 18:35:47.820000
235,43726,218630.0,2018-04-17 18:35:48.630000
236,43891,219455.0,2018-04-17 18:35:49.455000
237,44102,220510.0,2018-04-17 18:35:50.510000
238,44286,221430.0,2018-04-17 18:35:51.430000
239,44468,222340.0,2018-04-17 18:35:52.340000
240,44641,223205.0,2018-04-17 18:35:53.205000
241,44814,224070.0,2018-04-17 18:35:54.070000
242,44985,224925.0,2018-04-17 18:35:54.925000
243,45147,225735.0,2018-04-17 18:35:55.735000
244,45298,226490.0,2018-04-17 18:35:56.490000
245,45514,227570.0,2018-04-17 18:35:57.570000
246,45696,228480.0,2018-04-17 18:35:58.480000
247,45885,229425.0,2018-04-17 18:35:59.425000
248,46031,230155.0,2018-04-17 18:36:00.155000
249,46186,230930.0,2018-04-17 18:36:00.930000
250,46378,231890.0,2018-04-17 18:36:01.890000
251,46575,232875.0,2018-04-17 18:36:02.875000
252,46781,233905.0,2018-04-17 18:36:03.905000
253,46962,234810.0,2018-04-17 18:36:04.810000
254,47113,235565.0,2018-04-17 18:36:05.565000
255,47383,236915.0,2018-04-17 18:36:06.915000
256,47560,237800.0,2018-04-17 18:36:07.800000
257,47738,238690.0,2018-04-17 18:36:08.690000
258,47925,239625.0,2018-04-17 18:36:09.625000
259,48106,240530.0,2018-04-17 18:36:10.530000
260,48335,241675.0,2018-04-17 18:36:11.675000
261,48518,242590.0,2018-04-17 18:36:12.590000
262,48667,243335.0,2018-04-17 18:36:13.335000
263,48848,244240.0,2018-04-17 18:36:14.240000
264,49026,245130.0,2018-04-17 18:36:15.130000
265,49205,246025.0,2018-04-17 18:36:16.025000
266,49381,246905.0,2018-04-17 18:36:16.905000
267,49584,247920.0,2018-04-17 18:36:17.920000
268,49771,248855.0,2018-04-17 18:36:18.855000
269,49963,249815.0,2018-04-17 18:36:19.815000
270,50240,251200.0,2018-04-17 18:36:21.200000
271,50410,252050.0,2018-04-17 18:36:22.050000
272,50626,253130.0,2018-04-17 18:36:23.130000
273,50805,254025.0,2018-04-17 18:36:24.025000
274,50992,254960.0,2018-04-17 18:36:24.960000
275,51192,255960.0,2018-04-17 18:36:25.960000
276,51426,257130.0,2018-04-17 18:36:27.130000
277,51630,258150.0,2018-04-17 18:36:28.150000
278,51809,259045.0,2018-04-17 18:36:29.045000
279,51903,259515.0,2018-04-17 18:36:29.515000
280,52114,260570.0,2018-04-17 18:36:30.570000
281,52298,261490.0,2018-04-17 18:36:31.490000
282,52517,262585.0,2018-04-17 18:36:32.585000
283,52688,263440.0,2018-04-17 18:36:33.440000
284,52861,264305.0,2018-04-17 18:36:34.305000
285,53057,265285.0,2018-04-17 18:36:35.285000
286,53292,266460.0,2018-04-17 18:36:36.460000
287,53519,267595.0,2018-04-17 18:36:37.595000
288,53724,268620.0,2018-04-17 18:36:38.620000
289,53881,269405.0,2018-04-17 18:36:39.405000
290,54062,270310.0,2018-04-17 18:36:40.310000
291,54221,271105.0,2018-04-17 18:36:41.105000
292,54440,272200.0,2018-04-17 18:36:42.200000
293,54608,273040.0,2018-04-17 18:36:43.040000
294,54789,273945.0,2018-04-17 18:36:43.945000
295,54972,274860.0,2018-04-17 18:36:44.860000
296,55225,276125.0,2018-04-17 18:36:46.125000
297,55417,277085.0,2018-04-17 18:36:47.085000
298,55577,277885.0,2018-04-17 18:36:47.885000
299,55740,278700.0,2018-04-17 18:36:48.700000
300,55942,279710.0,2018-04-17 18:36:49.710000
301,56130,280650.0,2018-04-17 18:36:50.650000
302,56370,281850.0,2018-04-17 18:36:51.850000
303,56577,282885.0,2018-04-17 18:36:52.885000
304,56747,283735.0,2018-04-17 18:36:53.735000
305,56962,284810.0,2018-04-17 18:36:54.810000
306,57134,285670.0,2018-04-17 18:36:55.670000
307,57368,286840.0,2018-04-17 18:36:56.840000
308,57573,287865.0,2018-04-17 18:36:57.865000
309,57734,288670.0,2018-04-17 18:36:58.670000
310,57929,289645.0,2018-04-17 18:36:59.645000
311,58178,290890.0,2018-04-17 18:37:00.890000
312,58320,291600.0,2018-04-17 18:37:01.600000
313,58477,292385.0,2018-04-17 18:37:02.385000
314,58715,293575.0,2018-04-17 18:37:03.575000
315,58912,294560.0,2018-04-17 18:37:04.560000
316,59159,295795.0,2018-04-17 18:37:05.795000
317,59404,297020.0,2018-04-17 18:37:07.020000
318,59638,298190.0,2018-04-17 18:37:08.190000
319,59883,299415.0,2018-04-17 18:37:09.415000
320,60077,300385.0,2018-04-17 18:37:10.385000
321,60307,301535.0,2018-04-17 18:37:11.535000
322,60476,302380.0,2018-04-17 18:37:12.380000
323,60665,303325.0,2018-04-17 18:37:13.325000
324,60888,304440.0,2018-04-17 18:37:14.440000
325,61057,305285.0,2018-04-17 18:37:15.285000
326,61241,306205.0,2018-04-17 18:37:16.205000
327,61458,307290.0,2018-04-17 18:37:17.290000
328,61678,308390.0,2018-04-17 18:37:18.390000
329,61837,309185.0,2018-04-17 18:37:19.185000
330,61984,309920.0,2018-04-17 18:37:19.920000
331,62194,310970.0,2018-04-17 18:37:20.970000
332,62451,312255.0,2018-04-17 18:37:22.255000
333,62709,313545.0,2018-04-17 18:37:23.545000
334,62900,314500.0,2018-04-17 18:37:24.500000
335,63078,315390.0,2018-04-17 18:37:25.390000
336,63256,316280.0,2018-04-17 18:37:26.280000
337,63417,317085.0,2018-04-17 18:37:27.085000
338,63599,317995.0,2018-04-17 18:37:27.995000
339,63750,318750.0,2018-04-17 18:37:28.750000
340,63966,319830.0,2018-04-17 18:37:29.830000
341,64165,320825.0,2018-04-17 18:37:30.825000
342,64370,321850.0,2018-04-17 18:37:31.850000
343,64517,322585.0,2018-04-17 18:37:32.585000
344,64676,323380.0,2018-04-17 18:37:33.380000
345,64866,324330.0,2018-04-17 18:37:34.330000
346,65027,325135.0,2018-04-17 18:37:35.135000
347,65227,326135.0,2018-04-17 18:37:36.135000
348,65366,326830.0,2018-04-17 18:37:36.830000
349,65507,327535.0,2018-04-17 18:37:37.535000
350,65700,328500.0,2018-04-17 18:37:38.500000
351,65910,329550.0,2018-04-17 18:37:39.550000
352,66077,330385.0,2018-04-17 18:37:40.385000
353,66246,331230.0,2018-04-17 18:37:41.230000
354,66469,332345.0,2018-04-17 18:37:42.345000
355,66662,333310.0,2018-04-17 18:37:43.310000
356,66834,334170.0,2018-04-17 18:37:44.170000
357,67081,335405.0,2018-04-17 18:37:45.405000
358,67309,336545.0,2018-04-17 18:37:46.545000
359,67533,337665.0,2018-04-17 18:37:47.665000
360,67740,338700.0,2018-04-17 18:37:48.700000
361,67952,339760.0,2018-04-17 18:37:49.760000
362,68126,340630.0,2018-04-17 18:37:50.630000
363,68289,341445.0,2018-04-17 18:37:51.445000
364,68436,342180.0,2018-04-17 18:37:52.180000
365,68631,343155.0,2018-04-17 18:37:53.155000
366,68837,344185.0,2018-04-17 18:37:54.185000
367,69005,345025.0,2018-04-17 18:37:55.025000
368,69214,346070.0,2018-04-17 18:37:56.070000
369,69364,346820.0,2018-04-17 18:37:56.820000
370,69538,347690.0,2018-04-17 18:37:57.690000
371,69737,348685.0,2018-04-17 18:37:58.685000
372,69925,349625.0,2018-04-17 18:37:59.625000
373,70145,350725.0,2018-04-17 18:38:00.725000
374,70324,351620.0,2018-04-17 18:38:01.620000
375,70504,352520.0,2018-04-17 18:38:02.520000
376,70662,353310.0,2018-04-17 18:38:03.310000
377,70800,354000.0,2018-04-17 18:38:04
378,71032,355160.0,2018-04-17 18:38:05.160000
379,71195,355975.0,2018-04-17 18:38:05.975000
380,71438,357190.0,2018-04-17 18:38:07.190000
381,71600,358000.0,2018-04-17 18:38:08
382,71779,358895.0,2018-04-17 18:38:08.895000
383,71946,359730.0,2018-04-17 18:38:09.730000
384,72124,360620.0,2018-04-17 18:38:10.620000
385,72343,361715.0,2018-04-17 18:38:11.715000
386,72554,362770.0,2018-04-17 18:38:12.770000
387,72745,363725.0,2018-04-17 18:38:13.725000
388,72932,364660.0,2018-04-17 18:38:14.660000
389,73132,365660.0,2018-04-17 18:38:15.660000
390,73288,366440.0,2018-04-17 18:38:16.440000
391,73450,367250.0,2018-04-17 18:38:17.250000
392,73691,368455.0,2018-04-17 18:38:18.455000
393,73862,369310.0,2018-04-17 18:38:19.310000
394,74002,370010.0,2018-04-17 18:38:20.010000
395,74157,370785.0,2018-04-17 18:38:20.785000
396,74374,371870.0,2018-04-17 18:38:21.870000
397,74572,372860.0,2018-04-17 18:38:22.860000
398,74806,374030.0,2018-04-17 18:38:24.030000
399,74997,374985.0,2018-04-17 18:38:24.985000
400,75210,376050.0,2018-04-17 18:38:26.050000
401,75355,376775.0,2018-04-17 18:38:26.775000
402,75528,377640.0,2018-04-17 18:38:27.640000
403,75743,378715.0,2018-04-17 18:38:28.715000
404,76005,380025.0,2018-04-17 18:38:30.025000
405,76177,380885.0,2018-04-17 18:38:30.885000
406,76368,381840.0,2018-04-17 18:38:31.840000
407,76576,382880.0,2018-04-17 18:38:32.880000
408,76742,383710.0,2018-04-17 18:38:33.710000
409,76912,384560.0,2018-04-17 18:38:34.560000
410,77069,385345.0,2018-04-17 18:38:35.345000
411,77251,386255.0,2018-04-17 18:38:36.255000
412,77412,387060.0,2018-04-17 18:38:37.060000
413,77635,388175.0,2018-04-17 18:38:38.175000
414,77821,389105.0,2018-04-17 18:38:39.105000
415,77966,389830.0,2018-04-17 18:38:39.830000
416,78146,390730.0,2018-04-17 18:38:40.730000
417,78334,391670.0,2018-04-17 18:38:41.670000
418,78507,392535.0,2018-04-17 18:38:42.535000
419,78659,393295.0,2018-04-17 18:38:43.295000
420,78837,394185.0,2018-04-17 18:38:44.185000
421,79084,395420.0,2018-04-17 18:38:45.420000
422,79279,396395.0,2018-04-17 18:38:46.395000
423,79378,396890.0,2018-04-17 18:38:46.890000
424,79499,397495.0,2018-04-17 18:38:47.495000
425,79650,398250.0,2018-04-17 18:38:48.250000
426,79811,399055.0,2018-04-17 18:38:49.055000
427,80008,400040.0,2018-04-17 18:38:50.040000
428,80171,400855.0,2018-04-17 18:38:50.855000
429,80346,401730.0,2018-04-17 18:38:51.730000
430,80524,402620.0,2018-04-17 18:38:52.620000
431,80767,403835.0,2018-04-17 18:38:53.835000
432,80927,404635.0,2018-04-17 18:38:54.635000
433,81110,405550.0,2018-04-17 18:38:55.550000
434,81317,406585.0,2018-04-17 18:38:56.585000
435,81547,407735.0,2018-04-17 18:38:57.735000
436,81780,408900.0,2018-04-17 18:38:58.900000
437,81990,409950.0,2018-04-17 18:38:59.950000
438,82154,410770.0,2018-04-17 18:39:00.770000
439,82384,411920.0,2018-04-17 18:39:01.920000
440,82573,412865.0,2018-04-17 18:39:02.865000
441,82730,413650.0,2018-04-17 18:39:03.650000
442,82914,414570.0,2018-04-17 18:39:04.570000
443,83131,415655.0,2018-04-17 18:39:05.655000
444,83410,417050.0,2018-04-17 18:39:07.050000
445,83624,418120.0,2018-04-17 18:39:08.120000
446,83796,418980.0,2018-04-17 18:39:08.980000
447,83954,419770.0,2018-04-17 18:39:09.770000
448,84148,420740.0,2018-04-17 18:39:10.740000
449,84384,421920.0,2018-04-17 18:39:11.920000
450,84606,423030.0,2018-04-17 18:39:13.030000
451,84826,424130.0,2018-04-17 18:39:14.130000
452,85003,425015.0,2018-04-17 18:39:15.015000
453,85168,425840.0,2018-04-17 18:39:15.840000
454,85332,426660.0,2018-04-17 18:39:16.660000
455,85513,427565.0,2018-04-17 18:39:17.565000
456,85668,428340.0,2018-04-17 18:39:18.340000
457,85829,429145.0,2018-04-17 18:39:19.145000
458,86000,430000.0,2018-04-17 18:39:20
459,86243,431215.0,2018-04-17 18:39:21.215000
460,86404,432020.0,2018-04-17 18:39:22.020000
461,86572,432860.0,2018-04-17 18:39:22.860000
462,86746,433730.0,2018-04-17 18:39:23.730000
463,86912,434560.0,2018-04-17 18:39:24.560000
464,87074,435370.0,2018-04-17 18:39:25.370000
465,87245,436225.0,2018-04-17 18:39:26.225000
466,87419,437095.0,2018-04-17 18:39:27.095000
467,87576,437880.0,2018-04-17 18:39:27.880000
468,87741,438705.0,2018-04-17 18:39:28.705000
469,87914,439570.0,2018-04-17 18:39:29.570000
470,88070,440350.0,2018-04-17 18:39:30.350000
471,88237,441185.0,2018-04-17 18:39:31.185000
472,88401,442005.0,2018-04-17 18:39:32.005000
473,88568,442840.0,2018-04-17 18:39:32.840000
474,88736,443680.0,2018-04-17 18:39:33.680000
475,88894,444470.0,2018-04-17 18:39:34.470000
476,89115,445575.0,2018-04-17 18:39:35.575000
477,89277,446385.0,2018-04-17 18:39:36.385000
478,89479,447395.0,2018-04-17 18:39:37.395000
479,89632,448160.0,2018-04-17 18:39:38.160000
480,89878,449390.0,2018-04-17 18:39:39.390000
481,90092,450460.0,2018-04-17 18:39:40.460000
482,90329,451645.0,2018-04-17 18:39:41.645000
483,90514,452570.0,2018-04-17 18:39:42.570000
484,90673,453365.0,2018-04-17 18:39:43.365000
485,90912,454560.0,2018-04-17 18:39:44.560000
486,91167,455835.0,2018-04-17 18:39:45.835000
487,91330,456650.0,2018-04-17 18:39:46.650000
488,91547,457735.0,2018-04-17 18:39:47.735000
489,91755,458775.0,2018-04-17 18:39:48.775000
490,91933,459665.0,2018-04-17 18:39:49.665000
491,92115,460575.0,2018-04-17 18:39:50.575000
492,92323,461615.0,2018-04-17 18:39:51.615000
493,92548,462740.0,2018-04-17 18:39:52.740000
494,92754,463770.0,2018-04-17 18:39:53.770000
495,92897,464485.0,2018-04-17 18:39:54.485000
496,93037,465185.0,2018-04-17 18:39:55.185000
497,93260,466300.0,2018-04-17 18:39:56.300000
498,93460,467300.0,2018-04-17 18:39:57.300000
499,93626,468130.0,2018-04-17 18:39:58.130000
500,93794,468970.0,2018-04-17 18:39:58.970000
501,93960,469800.0,2018-04-17 18:39:59.800000
502,94127,470635.0,2018-04-17 18:40:00.635000
503,94291,471455.0,2018-04-17 18:40:01.455000
504,94461,472305.0,2018-04-17 18:40:02.305000
505,94629,473145.0,2018-04-17 18:40:03.145000
506,94794,473970.0,2018-04-17 18:40:03.970000
507,94961,474805.0,2018-04-17 18:40:04.805000
508,95129,475645.0,2018-04-17 18:40:05.645000
509,95289,476445.0,2018-04-17 18:40:06.445000
510,95461,477305.0,2018-04-17 18:40:07.305000
511,95635,478175.0,2018-04-17 18:40:08.175000
512,95796,478980.0,2018-04-17 18:40:08.980000
513,95969,479845.0,2018-04-17 18:40:09.845000
514,96122,480610.0,2018-04-17 18:40:10.610000
515,96290,481450.0,2018-04-17 18:40:11.450000
516,96462,482310.0,2018-04-17 18:40:12.310000
517,96635,483175.0,2018-04-17 18:40:13.175000
518,96787,483935.0,2018-04-17 18:40:13.935000
519,96967,484835.0,2018-04-17 18:40:14.835000
520,97130,485650.0,2018-04-17 18:40:15.650000
521,97285,486425.0,2018-04-17 18:40:16.425000
522,97464,487320.0,2018-04-17 18:40:17.320000
523,97628,488140.0,2018-04-17 18:40:18.140000
524,97828,489140.0,2018-04-17 18:40:19.140000
525,98031,490155.0,2018-04-17 18:40:20.155000
526,98284,491420.0,2018-04-17 18:40:21.420000
527,98453,492265.0,2018-04-17 18:40:22.265000
528,98641,493205.0,2018-04-17 18:40:23.205000
529,98789,493945.0,2018-04-17 18:40:23.945000
530,98947,494735.0,2018-04-17 18:40:24.735000
531,99121,495605.0,2018-04-17 18:40:25.605000
532,99296,496480.0,2018-04-17 18:40:26.480000
533,99451,497255.0,2018-04-17 18:40:27.255000
534,99635,498175.0,2018-04-17 18:40:28.175000
535,99852,499260.0,2018-04-17 18:40:29.260000
536,100035,500175.0,2018-04-17 18:40:30.175000
537,100203,501015.0,2018-04-17 18:40:31.015000
